PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,0,Bar chart,0.14469828,20,4.3114524,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,0,Bar chart,10.236603,20,3.2873833,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,1,Bar chart,0.021404989,5,2.3157387,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,1,Bar chart,69.767494,80,3.3550875,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,2,Bar chart,0.6104465,65,6.0087547,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,2,Bar chart,89.99902,90,-10,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,3,Bar chart,0.010834491,5,2.3187983,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,3,Bar chart,58.538418,65,2.6918874,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,4,Bar chart,0.73284006,80,6.308651,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,4,Bar chart,72.08884,75,1.5415957,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,5,Pie chart,0.45935786,50,5.630541,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,5,Pie chart,95.58104,80,3.9617195,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,6,Pie chart,0.43826327,30,4.885659,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,6,Pie chart,33.093655,25,3.0167913,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,7,Pie chart,0.36112562,35,5.11432,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,7,Pie chart,91.54158,75,4.048025,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,8,Pie chart,0.63946384,60,5.8914323,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,8,Pie chart,21.169785,20,0.22624283,,,,,,,
p365f0aa9-42bf-4826-82ba-e831f3d2d27b,9,Pie chart,0.7642582,85,6.396361,,p62d5d8bc-520e-4e42-98d6-ebcfa9c2d752,9,Pie chart,0.68933564,85,6.397643,,,,,,,
